customer_id,customer_name,registration_date,email,gender,age,birth,pref
IK152942,김서준,2019-01-01 0:25,hirata_yuujirou@example.com,M,29 ,1990-06-10,대전광역시
TS808488,김예준,2019-01-01 1:13,tamura_shiori@example.com,F,33 ,1986-05-20,인천광역시
AS834628,김도윤,2019-01-01 2:00,hisano_yuki@example.com,F,63 ,1956-01-02,광주광역시
AS345469,김시우,2019-01-01 4:48,tsuruoka_kaoru@example.com,M,74 ,1945-03-25,인천광역시
GD892565,김주원,2019-01-01 4:54,oouchi_takashi@example.com,M,54 ,1965-08-05,울산광역시
AS265381,김하준,2019-01-01 5:51,kasai_yousuke@example.com,M,69 ,1949-08-09,서울특별시
HD739338,김지호,2019-01-01 5:51,hashiguchi_masaya@example.com,M,45 ,1974-06-04,대전광역시
HI791416,김지후,2019-01-01 7:03,hosoi_mayuko@example.com,F,30 ,1989-07-25,대구광역시
HD819739,김준서,2019-01-01 8:17,shiomi_haruka@example.com,F,49 ,1969-10-08,대전광역시
OA239766,김준우,2019-01-01 8:59,tamaki_yukiya@example.com,M,22 ,1997-01-12,인천광역시
HD743252,김현우,2019-01-01 15:13,abe_tetsuhiro@example.com,M,51 ,1967-11-08,서울특별시
OA336650,김지훈,2019-01-01 15:57,yasuda_naoto@example.com,M,68 ,1950-08-13,대전광역시
OA176831,김도현,2019-01-01 17:30,hirayama_tomofumi@example.com,M,24 ,1995-06-13,광주광역시
HD104458,김건우,2019-01-01 19:55,kannbara_akihiro@example.com,M,27 ,1991-12-18,인천광역시
HI652550,김우진,2019-01-01 19:55,kaga_you@example.com,F,43 ,1976-02-10,서울특별시
HD994980,김민재,2019-01-01 21:22,kasai_nanase@example.com,F,52 ,1967-08-05,울산광역시
GD455127,김선우,2019-01-01 21:29,fukuyama_yoshiki@example.com,M,55 ,1963-09-30,부산광역시
IK623902,김현준,2019-01-01 21:35,fujiwara_meisa@example.com,F,63 ,1956-03-31,서울특별시
OA308429,김서진,2019-01-01 21:42,kiyota_haruka@example.com,F,58 ,1961-01-23,부산광역시
OA640152,김연우,2019-01-01 23:25,matsubara_ryou@example.com,M,63 ,1955-12-18,광주광역시
PL407221,김유준,2019-01-02 0:42,ando_erika@example.com,F,70 ,1948-11-14,인천광역시
AS071660,김정우,2019-01-02 1:25,tadokoro_hidetaka@example.com,M,37 ,1981-11-18,울산광역시
OA558666,김승현,2019-01-02 3:00,urano_aki@example.com,F,61 ,1957-11-14,서울특별시
OA449732,김승우,2019-01-02 3:27,oobayashi_suzuka@example.com,F,67 ,1951-09-28,인천광역시
HI531972,김준혁,2019-01-02 4:59,miyasako_sora@example.com,F,67 ,1952-06-21,인천광역시
IK661529,김지환,2019-01-02 5:00,kikuta_yuu@example.com,M,56 ,1963-03-26,인천광역시
HD176754,김시윤,2019-01-02 6:14,sakashita_kenji@example.com,M,60 ,1959-04-07,서울특별시
AS453084,김승민,2019-01-02 7:24,okamoto_tetsuhiro@example.com,M,49 ,1970-06-17,서울특별시
TS855513,김은우,2019-01-02 8:18,mizutani_rena@example.com,F,69 ,1950-06-01,대구광역시
TS971314,김지우,2019-01-02 9:39,ichida_yuuichi@example.com,M,61 ,1958-02-06,부산광역시
TS456293,김유찬,2019-01-02 10:41,yokoi_reina@example.com,F,69 ,1949-09-15,부산광역시
HI089467,김민성,2019-01-02 12:41,ayanokouji_kazuki@example.com,M,33 ,1986-06-23,서울특별시
HI499195,김준영,2019-01-02 15:52,watabe_yui@example.com,F,43 ,1976-05-29,부산광역시
